rok;strana_id;strana;poradove_cislo;jmeno;tituly;vek;navrhovana_str;prislusnost;hlasy;hlasy_procenta;poradi;mandat
2014;8;Sdružení DSZ a NK;4;Konopa Jiří;;47;NK;BEZPP;52;6.16;-;False
2014;5;Společně za Plzeň;14;Kopač Petr Ing.;Ing.;26;Piráti;Piráti;1845;2.09;-;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;18;KOPEČKOVÁ Michala Mgr.;Mgr.;33;KDU-ČSL;BEZPP;2139;2.04;15;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;20;KOPIC Jiří Ing.;Ing.;51;KDU-ČSL;KDU-ČSL;2158;2.06;17;False
2014;7;Volební strana REPUBLIKA;2;Korbel Viktor Ing. MBA;Ing. MBA;65;Republika;BEZPP;104;5.13;-;False
2014;3;Strana svobodných občanů;27;Koreň Jan Ing.;Ing.;29;Svobodní;BEZPP;855;2.07;-;False
2014;2;Pravá volba pro Plzeň (PVP);44;Kortan Karel;;62;PVP;BEZPP;838;1.66;-;False
2014;11;ANO 2011;24;Kořanová Barbora Mgr.;Mgr.;30;ANO;ANO;7067;2.14;14;False
2014;13;Česká str.sociálně demokrat.;5;Kotas Pavel Ing.;Ing.;33;ČSSD;ČSSD;6666;2.19;5;True
2014;5;Společně za Plzeň;16;Kotlárová Monika;;46;NK;BEZPP;1840;2.08;-;False
2014;11;ANO 2011;25;Kotnauer Jan Ing.;Ing.;76;ANO;ANO;7025;2.12;15;False
2014;14;Občané patrioti;24;Koura Václav Ing.;Ing.;61;OPAT;BEZPP;2734;2.02;20;False
2014;9;Plzeň pro sport;24;Koutná Monika;;26;PPPS;BEZPP;653;1.98;-;False
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;29;Kovanda Petr;;46;VZ;VZ;1088;2.02;-;False
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;5;Kovařík Jaroslav;;61;VZ;BEZPP;1141;2.12;-;False
